seqid,ref_seqid,edit_distance,similarity,length,exp
FS10000169:121:BRB11606-0719:1:1101:10030:1020,007310,77,0.4866666666666667,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:13810:1020,001340,74,0.5066666666666666,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:6390:1080,006006,73,0.5133333333333333,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:2060:1180,001395,74,0.5066666666666666,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:10900:1240,009388,70,0.5333333333333333,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:7040:1250,001950,75,0.5,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:11550:1230,002509,82,0.45333333333333337,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:2190:1220,002362,71,0.5266666666666666,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:5930:1310,006006,69,0.54,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:7840:1210,000543,71,0.5266666666666666,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:8630:1190,010833,77,0.4866666666666667,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:3490:1410,009889,76,0.4933333333333333,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:9470:1340,002362,70,0.5333333333333333,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:11590:1300,002362,70,0.5333333333333333,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:8880:1560,002362,74,0.5066666666666666,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:13490:1560,010770,70,0.5333333333333333,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:3390:1600,006006,76,0.4933333333333333,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:15230:1540,006006,68,0.5466666666666666,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:7970:1530,002610,72,0.52,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:10830:1530,001815,71,0.5266666666666666,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:14840:1640,002140,72,0.52,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:3600:1490,003046,70,0.5333333333333333,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:3870:1670,008722,77,0.4866666666666667,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:5390:1610,006006,73,0.5133333333333333,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:9790:1780,001189,78,0.48,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:9290:1710,004612,70,0.5333333333333333,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:14990:1800,008689,78,0.48,150,PCR1
FS10000169:121:BRB11606-0719:1:1101:6830:1890,003453,74,0.5066666666666666,150,PCR1
