seq_id,PCR01,PCR02,PCR03,PCR04,PCR05,PCR06,PCR07,PCR08,PCR09,PCR10
GCall_006853,608,714,782.0,938.0,1018.0,804.0,838.0,942.0,800.0,562.0
GCall_000727,612,366,182.0,162.0,84.0,74.0,34.0,34.0,16.0,10.0
GCfix_011247,604,654,694.0,768.0,794.0,634.0,642.0,664.0,522.0,370.0
GCfix_000287,608,716,664.0,934.0,914.0,820.0,816.0,838.0,872.0,486.0
GCall_011608,606,698,870.0,940.0,1022.0,936.0,920.0,1050.0,1028.0,743.0
GCall_010527,606,638,616.0,710.0,596.0,450.0,394.0,364.0,406.0,210.0
GCall_009919,606,670,776.0,1026.0,1006.0,1036.0,958.0,1146.0,1096.0,758.0
GCall_009628,608,696,726.0,960.0,952.0,884.0,828.0,938.0,840.0,704.0
GCall_008840,612,702,590.0,616.0,594.0,480.0,482.0,454.0,426.0,264.0
GCall_006861,608,754,690.0,834.0,734.0,618.0,548.0,568.0,524.0,362.0
GCall_005204,606,714,722.0,810.0,908.0,814.0,742.0,876.0,922.0,536.0
GCall_001046,606,782,780.0,802.0,744.0,522.0,464.0,520.0,400.0,246.0
GCfix_007482,608,628,630.0,790.0,692.0,516.0,476.0,552.0,492.0,356.0
GCall_009688,608,612,620.0,686.0,620.0,462.0,420.0,434.0,356.0,284.0
GCall_007257,604,610,544.0,628.0,606.0,462.0,386.0,412.0,316.0,174.0
GCall_007045,606,706,680.0,890.0,792.0,638.0,670.0,734.0,640.0,402.0
GCfix_009101,604,86,14.0,2.0,14.0,4.0,6.0,2.0,2.0,4.0
GCall_005896,606,338,172.0,134.0,74.0,34.0,30.0,24.0,16.0,2.0
GCfix_007241,604,316,170.0,144.0,84.0,60.0,42.0,20.0,8.0,8.0
GCfix_006032,604,224,88.0,42.0,38.0,6.0,16.0,18.0,6.0,6.0
GCfix_003377,600,630,678.0,830.0,762.0,720.0,732.0,674.0,654.0,518.0
GCall_007497,612,682,682.0,692.0,696.0,556.0,470.0,490.0,498.0,308.0
GCall_001380,604,214,80.0,54.0,32.0,34.0,10.0,12.0,4.0,8.0
GCall_011924,602,694,828.0,804.0,898.0,702.0,656.0,752.0,742.0,540.0
GCall_007113,602,718,690.0,864.0,750.0,694.0,662.0,692.0,648.0,426.0
GCall_005056,604,702,852.0,1058.0,1030.0,942.0,930.0,1054.0,1076.0,842.0
GCall_001634,600,764,844.0,1026.0,1142.0,1198.0,1116.0,1378.0,1244.0,902.0
GCall_000558,600,312,174.0,140.0,48.0,46.0,14.0,20.0,20.0,10.0
GCfix_010226,602,250,136.0,56.0,30.0,4.0,12.0,14.0,12.0,6.0
GCfix_005857,598,714,844.0,858.0,945.0,838.0,870.0,950.0,928.0,618.0
GCfix_004762,598,684,702.0,872.0,742.0,702.0,658.0,732.0,626.0,472.0
GCfix_004297,598,696,608.0,870.0,788.0,754.0,632.0,714.0,754.0,482.0
GCall_001433,598,714,650.0,730.0,660.0,510.0,496.0,526.0,496.0,344.0
GCfix_008799,598,748,652.0,700.0,592.0,448.0,392.0,378.0,324.0,206.0
GCfix_011770,598,648,612.0,648.0,634.0,524.0,451.0,406.0,342.0,268.0
GCfix_008205,598,594,600.0,624.0,578.0,412.0,460.0,370.0,366.0,176.0
GCfix_002038,600,744,860.0,990.0,1136.0,990.0,1026.0,1190.0,1190.0,864.0
GCall_011889,598,710,638.0,744.0,732.0,670.0,532.0,494.0,570.0,356.0
GCall_006870,606,732,808.0,988.0,1098.0,936.0,946.0,1132.0,1154.0,912.0
GCfix_006706,598,704,722.0,1000.0,910.0,794.0,874.0,998.0,952.0,668.0
GCall_009169,600,594,606.0,562.0,524.0,476.0,428.0,448.0,358.0,208.0
GCfix_005505,592,650,688.0,872.0,932.0,752.0,742.0,772.0,786.0,522.0
GCfix_004611,594,668,724.0,832.0,924.0,778.0,790.0,948.0,906.0,620.0
GCall_003902,592,776,736.0,774.0,736.0,586.0,530.0,564.0,468.0,368.0
GCall_002482,594,750,664.0,932.0,910.0,816.0,716.0,818.0,760.0,490.0
GCall_000303,596,614,642.0,650.0,576.0,474.0,428.0,432.0,348.0,240.0
GCfix_010422,594,702,856.0,1060.0,1146.0,1048.0,1052.0,1206.0,1196.0,976.0
GCfix_008068,592,112,36.0,16.0,28.0,18.0,10.0,8.0,4.0,2.0
GCfix_003979,596,758,762.0,870.0,802.0,706.0,600.0,606.0,548.0,388.0
GCfix_006035,596,630,642.0,696.0,710.0,558.0,502.0,468.0,380.0,290.0
GCfix_005658,592,402,308.0,234.0,158.0,114.0,62.0,44.0,30.0,16.0
GCall_007207,592,650,698.0,834.0,896.0,820.0,842.0,868.0,824.0,654.0
