fold,seq_id,label,prediction
1,000293,1,0.500724306065434
1,000376,1,0.5048003940620037
1,000691,1,0.5016690507260759
1,000835,1,0.5844755810743743
1,001125,1,0.507596524940828
1,001387,1,0.5046149911721804
1,001408,1,0.504950577563886
1,001437,1,0.5050794823660755
1,001492,1,0.5006230414417177
1,001753,1,0.508648120928932
1,001951,1,0.5066289500683299
1,001972,1,0.5001929156223334
1,001990,1,0.5014370585194832
1,002020,1,0.500229757797444
1,002199,1,0.5004513513481269
1,002225,1,0.5003150844142984
1,002469,1,0.5097695884093002
1,002565,1,0.5032793611361016
1,003270,1,0.5277160129851823
1,003420,1,0.5003659878314419
1,004341,1,0.5005812468702898
1,004456,1,0.5003842115908688
1,004501,1,0.5024110896743788
1,005495,1,0.50968890265666
1,005948,1,0.501868910753794
1,006159,1,0.5000806645486774
1,006357,1,0.5003322776233377
1,006666,1,0.5005694430391022
1,006686,1,0.5015232971647218
1,006946,1,0.5013490320856053
1,007813,1,0.5112337575526442
1,007852,1,0.501511239765799
1,008253,1,0.5002673562897667
1,008335,1,0.5048267576591806
1,008705,1,0.5001544298873686
1,008824,1,0.5002108878272875
1,009163,1,0.5001330124758927
1,009296,1,0.5040767020294726
1,009300,1,0.5010571410436665
1,009316,1,0.5005937755064671
1,009637,1,0.5008447111284405
1,009954,1,0.5015197278695958
1,009978,1,0.5000806645486774
1,009992,1,0.5805563323914341
1,010222,1,0.5007614222759061
1,011014,1,0.5030188474375704
1,011139,1,0.5029830780660277
1,011987,1,0.5015434054583555
1,000012,0,0.5004517324554629
1,000013,0,0.5000806645486774
1,000028,0,0.5000912144684444
1,000030,0,0.500853916594385
1,000031,0,0.501414561603624
1,000033,0,0.5150295334105007
1,000037,0,0.5000806645486774
1,000044,0,0.5003068766117514
1,000047,0,0.5004617446791111
1,000058,0,0.5004572731159163
1,000063,0,0.5012454014936586
1,000082,0,0.5001409507408057
1,000088,0,0.5005100882566907
1,000095,0,0.5032420310746725
1,000102,0,0.5008322497714451
1,000105,0,0.5002646485216546
1,000111,0,0.5002746710411379
1,000113,0,0.5008373674000252
1,000119,0,0.5001183748439004
1,000122,0,0.5039421493941914
1,000124,0,0.500698672180751
1,000125,0,0.5002821146157507
1,000126,0,0.5003406244532358
1,000128,0,0.5004062301546238
1,000130,0,0.5007722580383882
1,000132,0,0.5003520221115506
1,000138,0,0.5001121109958181
1,000150,0,0.5000904671704507
1,000154,0,0.5003378035078572
1,000158,0,0.5008068436984305
1,000166,0,0.5047337110441403
1,000168,0,0.5006910371119238
1,000173,0,0.500192461067533
